title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
Alvin and the Chipmunks: The Road Chip,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Fantasy, Music, Musical",2015-12-17,90000000.0,85886987,148911649,36.58%,63.42%,234798636,144798636.0,5.8
Fury,Sony Pictures Entertainment (SPE),"Action, Drama, War",2014-10-15,68000000.0,85817906,126004791,40.51%,59.49%,211822697,143822697.0,7.4
Real Steel,Walt Disney Studios Motion Pictures,"Action, Drama, Sci-Fi, Sport",2011-09-28,110000000.0,85468508,213800000,28.56%,71.44%,299268508,189268508.0,6.6
The SpongeBob SquarePants Movie,Paramount Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2004-11-14,30000000.0,85417988,55649139,60.55%,39.45%,141067127,111067127.0,6.7
Stripes,Columbia Pictures,"Comedy, War",1981-06-25,10000000.0,85297000,85297000,50.00%,50.00%,170594000,160594000.0,6.5
Anchorman: The Legend of Ron Burgundy,DreamWorks Distribution,Comedy,2004-07-09,26000000.0,85288303,5421064,94.02%,5.98%,90709367,64709367.0,6.7
Aliens,Twentieth Century Fox,"Action, Adventure, Sci-Fi, Thriller",1986-07-18,18500000.0,85160248,45900000,64.98%,35.02%,131060248,112560248.0,7.7
Open Season,Sony Pictures Entertainment (SPE),"Adventure, Animation, Comedy, Drama, Family",2006-09-29,85000000.0,85105259,115706430,42.38%,57.62%,200811689,115811689.0,6.1
The Expendables 2,Lionsgate,"Action, Adventure, Thriller",2012-08-08,100000000.0,85028192,229947763,27.00%,73.00%,314975955,214975955.0,6.1
Paranormal Activity 2,Paramount Pictures,"Horror, Mystery",2010-10-20,3000000.0,84752907,92759125,47.74%,52.26%,177512032,174512032.0,5.7
Tammy,Warner Bros.,"Comedy, Romance",2014-07-02,20000000.0,84525432,15850000,84.21%,15.79%,100375432,80375432.0,5.0
"Crazy, Stupid, Love.",Warner Bros.,"Comedy, Drama, Romance",2011-07-29,50000000.0,84351197,60700000,58.15%,41.85%,145051197,95051197.0,7.0
Annabelle,Warner Bros.,"Horror, Mystery, Thriller",2014-10-02,6500000.0,84273813,173305469,32.72%,67.28%,257579282,251079282.0,5.6
Scooby-Doo 2: Monsters Unleashed,Warner Bros.,"Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi",2004-03-24,25000000.0,84216833,97000000,46.47%,53.53%,181216833,156216833.0,5.4
Atlantis: The Lost Empire,Walt Disney Studios Motion Pictures,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi",2001-06-02,120000000.0,84056472,101997253,45.18%,54.82%,186053725,66053725.0,6.7
Cliffhanger,TriStar Pictures,"Action, Adventure, Thriller",1993-05-28,70000000.0,84049211,170951000,32.96%,67.04%,255000211,185000211.0,6.1
The Other Woman,Twentieth Century Fox,"Comedy, Romance",2014-04-16,40000000.0,83911193,112799203,42.66%,57.34%,196710396,156710396.0,6.2
The X Files,Twentieth Century Fox,"Drama, Mystery, Sci-Fi, Thriller",1998-06-19,66000000.0,83898313,105278110,44.35%,55.65%,189176423,123176423.0,6.6
Penguins of Madagascar,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Sci-Fi",2014-11-22,132000000.0,83850911,289664710,22.45%,77.55%,373515621,241515621.0,6.5
Die Hard,Twentieth Century Fox,"Action, Thriller",1988-07-15,28000000.0,83844093,57759104,59.21%,40.79%,141603197,113603197.0,7.5
Up in the Air,Paramount Pictures,"Comedy, Drama, Romance",2009-09-05,25000000.0,83823381,83019358,50.24%,49.76%,166842739,141842739.0,6.7
Wrath of the Titans,Warner Bros.,"Action, Adventure, Fantasy",2012-03-27,150000000.0,83670083,218300000,27.71%,72.29%,301970083,151970083.0,5.5
Insidious: Chapter 2,FilmDistrict,"Horror, Mystery, Thriller",2013-09-12,5000000.0,83586447,78332871,51.62%,48.38%,161919318,156919318.0,6.5
Immortals,Relativity Media,"Action, Drama, Fantasy, Romance",2011-11-10,75000000.0,83504017,143400000,36.80%,63.20%,226904017,151904017.0,5.7
Apocalypse Now,Metro-Goldwyn-Mayer (MGM),"Drama, Mystery, War",1979-08-15,31500000.0,83471511,8686553,90.57%,9.43%,92158064,60658064.0,8.0
Patriot Games,Paramount Pictures,"Action, Thriller",1992-06-04,45000000.0,83351587,94700000,46.81%,53.19%,178051587,133051587.0,6.3
Saving Mr. Banks,Walt Disney Studios Motion Pictures,"Biography, Comedy, Drama",2013-11-16,35000000.0,83301580,34566404,70.67%,29.33%,117867984,82867984.0,7.3
Valkyrie,United Artists,"Drama, History, Thriller, War",2008-12-25,75000000.0,83077833,118467684,41.22%,58.78%,201545517,126545517.0,6.7
Brokeback Mountain,Focus Features,"Drama, Romance",2005-09-02,14000000.0,83043761,95018998,46.64%,53.36%,178062759,164062759.0,7.5
Turbo,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Sport",2013-07-11,135000000.0,83028128,199542554,29.38%,70.62%,282570682,147570682.0,6.1
Disclosure,Warner Bros.,"Drama, Thriller",1994-12-09,55000000.0,83015089,131000000,38.79%,61.21%,214015089,159015089.0,5.9
Charlotte's Web,Paramount Pictures,"Adventure, Comedy, Family, Fantasy",2006-12-15,85000000.0,82985708,65978114,55.71%,44.29%,148963822,63963822.0,5.8
Monster-in-Law,New Line Cinema,"Comedy, Romance",2005-05-13,43000000.0,82931301,72526026,53.35%,46.65%,155457327,112457327.0,5.6
Are We There Yet?,Revolution Studios,"Adventure, Comedy, Family, Fantasy, Romance",2005-01-20,32000000.0,82674398,15244265,84.43%,15.57%,97918663,65918663.0,5.2
Freddy vs. Jason,New Line Cinema,"Action, Horror",2003-08-15,30000000.0,82622655,34009973,70.84%,29.16%,116632628,86632628.0,5.8
Star Trek: The Motion Picture,Paramount Pictures,"Adventure, Mystery, Sci-Fi",1979-12-06,35000000.0,82604699,82604699,50.00%,50.00%,165209398,130209398.0,6.2
The Descendants,Fox Searchlight Pictures,"Comedy, Drama",2011-09-09,20000000.0,82584160,94659025,46.59%,53.41%,177243185,157243185.0,6.7
Cheaper by the Dozen 2,Twentieth Century Fox,"Adventure, Comedy, Family",2005-12-21,60000000.0,82571173,47583395,63.44%,36.56%,130154568,70154568.0,5.7
Mr. Holland's Opus,Walt Disney Studios Motion Pictures,"Drama, Music",1995-12-29,31000000.0,82569971,23700000,77.70%,22.30%,106269971,75269971.0,6.9
Let's Be Cops,Twentieth Century Fox,"Action, Comedy, Crime",2014-08-13,17000000.0,82390774,55834177,59.61%,40.39%,138224951,121224951.0,6.4
Blade II,New Line Cinema,"Action, Horror, Sci-Fi, Thriller",2002-03-22,54000000.0,82348319,72661713,53.12%,46.88%,155010032,101010032.0,6.2
Beowulf,Paramount Pictures,"Action, Adventure, Animation, Fantasy",2007-11-05,70000000.0,82280579,114113166,41.90%,58.10%,196393745,126393745.0,5.5
Bridge to Terabithia,Walt Disney Studios Motion Pictures,"Drama, Family, Fantasy",2007-02-16,60000000.0,82272442,55314621,59.80%,40.20%,137587063,77587063.0,7.0
The Pink Panther,Sony Pictures Entertainment (SPE),"Adventure, Comedy, Crime, Mystery",2006-01-18,80000000.0,82226474,81889423,50.10%,49.90%,164115897,84115897.0,5.6
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,"Action, Adventure, Comedy, Sci-Fi",2016-06-01,135000000.0,82051601,163572247,33.41%,66.59%,245623848,110623848.0,5.8
Alien,Twentieth Century Fox,"Horror, Sci-Fi",1979-05-25,11000000.0,81900459,24385063,77.06%,22.94%,106285522,95285522.0,7.9
Maze Runner: The Scorch Trials,Twentieth Century Fox,"Action, Adventure, Sci-Fi, Thriller",2015-09-09,61000000.0,81697192,230598864,26.16%,73.84%,312296056,251296056.0,6.4
Eight Below,Walt Disney Studios Motion Pictures,"Adventure, Drama, Family",2006-02-17,40000000.0,81612565,38843429,67.75%,32.25%,120455994,80455994.0,6.7
Unstoppable,Twentieth Century Fox,"Action, Thriller",2010-11-04,100000000.0,81562942,86242524,48.61%,51.39%,167805466,67805466.0,6.3
Payback,Paramount Pictures,"Action, Crime, Drama, Thriller",1999-02-05,90000000.0,81526121,80100000,50.44%,49.56%,161626121,71626121.0,6.7
Ted 2,Universal Pictures,Comedy,2015-06-25,68000000.0,81476385,134387221,37.74%,62.26%,215863606,147863606.0,6.2
The Talented Mr. Ripley,Paramount Pictures,"Crime, Drama, Thriller",1999-12-25,40000000.0,81298265,47501244,63.12%,36.88%,128799509,88799509.0,7.0
School of Rock,Paramount Pictures,"Comedy, Music",2003-10-03,35000000.0,81261177,49834813,61.99%,38.01%,131095990,96095990.0,6.7
Snow Dogs,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family, Sport",2002-01-18,33000000.0,81172560,33862530,70.56%,29.44%,115035090,82035090.0,5.3
21,Sony Pictures Entertainment (SPE),"Crime, Drama, History, Thriller",2008-03-27,35000000.0,81159365,78649005,50.79%,49.21%,159808370,124808370.0,6.5
Congo,Paramount Pictures,"Action, Adventure, Mystery, Sci-Fi",1995-06-09,50000000.0,81022101,71000000,53.30%,46.70%,152022101,102022101.0,5.0
The Notebook,New Line Cinema,"Drama, Romance",2004-06-25,29000000.0,81001787,36813370,68.75%,31.25%,117815157,88815157.0,7.7
Jimmy Neutron: Boy Genius,Paramount Pictures,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",2001-12-21,25000000.0,80936232,22056304,78.58%,21.42%,102992536,77992536.0,5.6
Eat Pray Love,Sony Pictures Entertainment (SPE),"Biography, Drama, Romance",2010-08-12,60000000.0,80574010,124020006,39.38%,60.62%,204594016,144594016.0,5.8
Zookeeper,Sony Pictures Entertainment (SPE),"Comedy, Family, Fantasy, Romance",2011-07-06,80000000.0,80360843,89491916,47.31%,52.69%,169852759,89852759.0,5.3
