title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
The Addams Family,United Artists Releasing,"Animation, Comedy, Family, Fantasy, Horror",1991-11-22,30000000.0,100723831,103060014,49.43%,50.57%,203783845,173783845.0,6.7
Vanilla Sky,Paramount Pictures,"Fantasy, Mystery, Romance, Sci-Fi, Thriller",2001-12-10,68000000.0,100618344,102769997,49.47%,50.53%,203388341,135388341.0,6.5
Due Date,Warner Bros.,"Comedy, Drama",2010-11-04,65000000.0,100539043,111241781,47.47%,52.53%,211780824,146780824.0,6.2
The Rugrats Movie,Paramount Pictures,"Adventure, Animation, Comedy, Drama, Family, Musical",1998-11-20,30000000.0,100494675,40400000,71.33%,28.67%,140894675,110894675.0,5.7
Million Dollar Baby,Warner Bros.,"Drama, Sport",2004-12-15,30000000.0,100492203,116271443,46.36%,53.64%,216763646,186763646.0,7.7
Step Brothers,Sony Pictures Entertainment (SPE),Comedy,2008-07-25,65000000.0,100468793,27639418,78.42%,21.58%,128108211,63108211.0,6.5
Evan Almighty,Universal Pictures,"Comedy, Family, Fantasy",2007-06-09,175000000.0,100462298,73978426,57.59%,42.41%,174440724,-559276.0,5.3
Casper,Universal Pictures,"Comedy, Family, Fantasy",1995-05-26,50000000.0,100328194,187600000,34.84%,65.16%,287928194,237928194.0,6.0
Shakespeare in Love,Miramax,"Comedy, Drama, History, Romance",1998-12-11,25000000.0,100317794,189000000,34.67%,65.33%,289317794,264317794.0,6.8
Bad Teacher,Sony Pictures Entertainment (SPE),"Comedy, Romance",2011-05-16,20000000.0,100292856,115904636,46.39%,53.61%,216197492,196197492.0,5.4
Yogi Bear,Warner Bros.,"Adventure, Animation, Comedy, Family",2010-12-11,80000000.0,100246011,103263363,49.26%,50.74%,203509374,123509374.0,5.2
Edge of Tomorrow,Warner Bros.,"Action, Adventure, Sci-Fi",2014-05-27,178000000.0,100206256,270335000,27.04%,72.96%,370541256,192541256.0,7.6
The Hunchback of Notre Dame,Walt Disney Studios Motion Pictures,"Animation, Drama, Family, Musical, Romance",1996-06-21,100000000.0,100138851,225200000,30.78%,69.22%,325338851,225338851.0,6.8
Se7en,New Line Cinema,"Crime, Drama, Mystery, Thriller",1995-09-22,33000000.0,100125643,227207916,30.59%,69.41%,327333559,294333559.0,8.1
You Don't Mess with the Zohan,Sony Pictures Entertainment (SPE),Comedy,2008-06-05,90000000.0,100018837,104294563,48.95%,51.05%,204313400,114313400.0,5.5
Hercules,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",2014-07-23,100000000.0,99112101,153600000,39.22%,60.78%,252712101,152712101.0,5.6
Olympus Has Fallen,FilmDistrict,"Action, Thriller",2013-03-20,70000000.0,98925640,71344561,58.10%,41.90%,170270201,100270201.0,6.2
The Green Hornet,Sony Pictures Entertainment (SPE),"Action, Comedy, Crime",2011-01-12,120000000.0,98780042,129037206,43.36%,56.64%,227817248,107817248.0,5.5
Date Night,Twentieth Century Fox,"Comedy, Crime, Romance, Thriller",2010-04-08,55000000.0,98711404,53552476,64.83%,35.17%,152263880,97263880.0,5.9
Yes Man,Warner Bros.,"Comedy, Romance",2008-12-09,70000000.0,97690976,125550661,43.76%,56.24%,223241637,153241637.0,6.4
Sausage Party,Sony Pictures Entertainment (SPE),"Adventure, Animation, Comedy, Fantasy",2016-07-11,19000000.0,97685686,43019636,69.43%,30.57%,140705322,121705322.0,5.6
Inspector Gadget,Walt Disney Studios Motion Pictures,"Action, Adventure, Comedy, Crime, Family, Sci-Fi",1999-07-23,75000000.0,97403112,37000000,72.47%,27.53%,134403112,59403112.0,4.3
Public Enemies,Universal Pictures,"Action, Biography, Crime, Drama, History",2009-07-01,80000000.0,97104620,117000000,45.35%,54.65%,214104620,134104620.0,6.5
The Social Network,Sony Pictures Entertainment (SPE),"Biography, Drama",2010-09-30,40000000.0,96962694,127957681,43.11%,56.89%,224920375,184920375.0,7.1
Schindler's List,Universal Pictures,"Biography, Drama, History",1993-11-29,22000000.0,96898818,225262427,30.08%,69.92%,322161245,300161245.0,8.3
The Others,Miramax,"Horror, Mystery, Thriller",2001-08-02,17000000.0,96522687,113424350,45.97%,54.03%,209947037,192947037.0,7.4
Legally Blonde,Metro-Goldwyn-Mayer (MGM),"Comedy, Romance",2001-07-13,18000000.0,96520674,45254005,68.08%,31.92%,141774679,123774679.0,6.1
Panic Room,Sony Pictures Entertainment (SPE),"Crime, Drama, Thriller",2002-03-29,48000000.0,96397334,100682212,48.91%,51.09%,197079546,149079546.0,6.5
Zero Dark Thirty,Sony Pictures Entertainment (SPE),"Drama, History, Thriller, War",2012-12-19,40000000.0,95720716,37100000,72.07%,27.93%,132820716,92820716.0,6.7
Cold Mountain,Miramax,"Adventure, Drama, History, Romance, War",2003-12-24,79000000.0,95636509,77377000,55.28%,44.72%,173013509,94013509.0,6.7
